============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.19-s055_1
  Generated on:           Nov 29 2025  08:38:51 am
  Module:                 lagrange_interp
  Operating conditions:   WCCOM (balanced_tree)
  Wireload mode:          segmented
  Area mode:              timing library
============================================================


Path 1: MET (2506 ps) Setup Check with Pin denominator_reg[255]/clk->d
          Group: clk
     Startpoint: (F) x2[0]
          Clock: (R) clk
       Endpoint: (R) denominator_reg[255]/d
          Clock: (R) clk

                     Capture       Launch     
        Clock Edge:+   10000            0     
        Drv Adjust:+       0            0     
       Src Latency:+       0            0     
       Net Latency:+       0 (I)        0 (I) 
           Arrival:=   10000            0     
                                              
             Setup:-      78                  
       Uncertainty:-     200                  
     Required Time:=    9722                  
      Launch Clock:-       0                  
       Input Delay:-    1500                  
         Data Path:-    5716                  
             Slack:=    2506                  

Exceptions/Constraints:
  input_delay             1500            constraints.sdc_line_8_768_1 

#--------------------------------------------------------------------------------------------------------------------
#           Timing Point            Flags    Arc    Edge       Cell         Fanout Load Trans Delay Arrival Instance 
#                                                                                  (fF)  (ps)  (ps)   (ps)  Location 
#--------------------------------------------------------------------------------------------------------------------
  x2[0]                             (u)     -       F     (arrival)              8 18.4     0     0    1500    (-,-) 
  sub_denom_inst_sub_11_22/g5581/z  (u)     in_1->z R     unmapped_complex2      3  7.5     0    30    1530    (-,-) 
  sub_denom_inst_sub_11_22/g20045/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1579    (-,-) 
  sub_denom_inst_sub_11_22/g20114/z (u)     in_1->z R     unmapped_complex4      2  5.0     0    49    1628    (-,-) 
  sub_denom_inst_sub_11_22/g20203/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1678    (-,-) 
  sub_denom_inst_sub_11_22/g20223/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1727    (-,-) 
  sub_denom_inst_sub_11_22/g20238/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1776    (-,-) 
  sub_denom_inst_sub_11_22/g20251/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1826    (-,-) 
  sub_denom_inst_sub_11_22/g20259/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1875    (-,-) 
  sub_denom_inst_sub_11_22/g20268/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    1924    (-,-) 
  sub_denom_inst_sub_11_22/g20270/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    1974    (-,-) 
  sub_denom_inst_sub_11_22/g20273/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2023    (-,-) 
  sub_denom_inst_sub_11_22/g20277/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2072    (-,-) 
  sub_denom_inst_sub_11_22/g20279/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2122    (-,-) 
  sub_denom_inst_sub_11_22/g20283/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    2171    (-,-) 
  sub_denom_inst_sub_11_22/g20284/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2220    (-,-) 
  sub_denom_inst_sub_11_22/g20287/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2269    (-,-) 
  sub_denom_inst_sub_11_22/g18816/z (u)     in_1->z F     unmapped_nand2         2  4.6     0    27    2296    (-,-) 
  sub_denom_inst_sub_11_22/g18812/z (u)     in_0->z F     unmapped_complex2      1  2.3     0    23    2319    (-,-) 
  sub_denom_inst_sub_11_22/g20025/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    2360    (-,-) 
  sub_denom_inst_sub_11_22/g20295/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2409    (-,-) 
  sub_denom_inst_sub_11_22/g20298/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    2458    (-,-) 
  sub_denom_inst_sub_11_22/g20302/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2508    (-,-) 
  sub_denom_inst_sub_11_22/g20305/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    2557    (-,-) 
  sub_denom_inst_sub_11_22/g20307/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2606    (-,-) 
  sub_denom_inst_sub_11_22/g20311/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2656    (-,-) 
  sub_denom_inst_sub_11_22/g18776/z (u)     in_1->z F     unmapped_nand2         2  4.6     0    27    2682    (-,-) 
  sub_denom_inst_sub_11_22/g18771/z (u)     in_0->z F     unmapped_complex2      1  2.3     0    23    2705    (-,-) 
  sub_denom_inst_sub_11_22/g20001/z (u)     in_0->z R     unmapped_complex4      2  5.0     0    41    2746    (-,-) 
  sub_denom_inst_sub_11_22/g20318/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2796    (-,-) 
  sub_denom_inst_sub_11_22/g20320/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    2845    (-,-) 
  sub_denom_inst_sub_11_22/g20322/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2894    (-,-) 
  sub_denom_inst_sub_11_22/g20327/z (u)     in_1->z R     unmapped_complex3      2  5.0     0    49    2943    (-,-) 
  sub_denom_inst_sub_11_22/g20328/z (u)     in_2->z R     unmapped_complex3      2  5.0     0    49    2993    (-,-) 
  sub_denom_inst_sub_11_22/g20332/z (u)     in_2->z R     unmapped_complex3      3  7.5     0    53    3045    (-,-) 
  sub_denom_inst_sub_11_22/g19981/z (u)     in_0->z F     unmapped_nand3         2  4.6     0    41    3086    (-,-) 
  sub_denom_inst_sub_11_22/g20337/z (u)     in_1->z F     unmapped_complex3      1  2.3     0    37    3124    (-,-) 
  sub_denom_inst_sub_11_22/g20204/z (u)     in_0->z R     unmapped_nand3         3  7.5     0    44    3168    (-,-) 
  sub_denom_inst_sub_11_22/g19976/z (u)     in_0->z F     unmapped_nand3         1  2.3     0    37    3206    (-,-) 
