============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.19-s055_1
  Generated on:           Nov 29 2025  08:38:47 am
  Module:                 lagrange_interp
  Technology library:     tcbn65gpluswc_ccs 200
  Operating conditions:   WCCOM (balanced_tree)
  Wireload mode:          segmented
  Area mode:              timing library
============================================================

               Instance                         Module          Cell Count  Cell Area  Net Area   Total Area      Wireload     
-------------------------------------------------------------------------------------------------------------------------------
lagrange_interp                                                     223895 966103.704     0.000   966103.704 ZeroWireload (S)  
  add_final_inst_add_11_21             add_unsigned_2                 1534   5769.690     0.000     5769.690 ZeroWireload (S)  
  add_final_inst_gte_15_18             geq_unsigned                     97    571.018     0.000      571.018 ZeroWireload (S)  
  add_final_inst_sub_16_24             sub_unsigned                    548   1894.813     0.000     1894.813 ZeroWireload (S)  
  manual_mul_139_30:mul_63_25          mult_unsigned                  6468  24658.305     0.000    24658.305 ZeroWireload (S)  
  manual_mul_139_30:rem_63_30          remainder_unsigned_2_66         377   1489.471     0.000     1489.471 ZeroWireload (S)  
  manual_mul_155_30:mul_63_25          mult_unsigned_1                6468  24658.305     0.000    24658.305 ZeroWireload (S)  
  manual_mul_155_30:rem_63_30          remainder_unsigned_2_64         377   1489.471     0.000     1489.471 ZeroWireload (S)  
  manual_mul_160_26:mul_63_25          mult_unsigned_2               99380 425161.937     0.000   425161.937 ZeroWireload (S)  
  manual_mul_160_26:rem_63_30          remainder_unsigned_2            376   1483.037     0.000     1483.037 ZeroWireload (S)  
  manual_mul_165_26:mul_63_25          mult_unsigned_2_67            99380 425161.937     0.000   425161.937 ZeroWireload (S)  
  manual_mul_165_26:rem_63_30          remainder_unsigned_2_65         376   1483.037     0.000     1483.037 ZeroWireload (S)  
  mod_inv_inst                         mod_inv                         110    693.264     0.000      693.264 ZeroWireload (S)  
  sub_denom_inst_add_16_26             add_unsigned                    546   2277.636     0.000     2277.636 ZeroWireload (S)  
  sub_denom_inst_sub_11_22             sub_unsigned_63                1539   5766.472     0.000     5766.472 ZeroWireload (S)  
  sub_num1_inst_add_16_26              add_unsigned_62                 546   2284.070     0.000     2284.070 ZeroWireload (S)  
  sub_num1_inst_sub_11_22_Y_SUB_UNS_OP sub_unsigned_10618              551   1922.158     0.000     1922.158 ZeroWireload (S)  
  sub_num2_inst_add_16_26              add_unsigned_61                 546   2284.070     0.000     2284.070 ZeroWireload (S)  
  sub_num2_inst_sub_11_22_Y_SUB_UNS_OP sub_unsigned_10618_1            551   1922.158     0.000     1922.158 ZeroWireload (S)  
  (S) = wireload was automatically selected
